phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,few_shot,afroxlmr,English+500Yoruba,Yoruba,test,0.5370 ± 0.0000,0.5378 ± 0.0000,0.5399 ± 0.0000,0.5366 ± 0.0000,0.5498 ± 0.0000,0.4794 ± 0.0000,0.5807 ± 0.0000,304.1000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+50Hausa,Hausa,test,0.5492 ± 0.0000,0.6234 ± 0.0000,0.5378 ± 0.0000,0.5212 ± 0.0000,0.6244 ± 0.0000,0.4399 ± 0.0000,0.4992 ± 0.0000,234.5000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+50Igbo,Igbo,test,0.5189 ± 0.0000,0.5912 ± 0.0000,0.5056 ± 0.0000,0.4895 ± 0.0000,0.6025 ± 0.0000,0.4062 ± 0.0000,0.4597 ± 0.0000,248.0000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+50Yoruba,Yoruba,test,0.5181 ± 0.0000,0.5163 ± 0.0000,0.5212 ± 0.0000,0.5127 ± 0.0000,0.5389 ± 0.0000,0.4243 ± 0.0000,0.5748 ± 0.0000,240.5000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+100Hausa,Hausa,test,0.4796 ± 0.0000,0.5038 ± 0.0000,0.4715 ± 0.0000,0.4649 ± 0.0000,0.5581 ± 0.0000,0.4527 ± 0.0000,0.3841 ± 0.0000,199.4000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+100Igbo,Igbo,test,0.5015 ± 0.0000,0.5264 ± 0.0000,0.4952 ± 0.0000,0.4927 ± 0.0000,0.5478 ± 0.0000,0.4990 ± 0.0000,0.4313 ± 0.0000,220.9000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+100Yoruba,Yoruba,test,0.5000 ± 0.0000,0.5244 ± 0.0000,0.5094 ± 0.0000,0.4915 ± 0.0000,0.4626 ± 0.0000,0.4469 ± 0.0000,0.5651 ± 0.0000,255.4000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+500Hausa,Hausa,test,0.5189 ± 0.0000,0.5193 ± 0.0000,0.5150 ± 0.0000,0.5134 ± 0.0000,0.5774 ± 0.0000,0.4517 ± 0.0000,0.5111 ± 0.0000,237.8000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+500Igbo,Igbo,test,0.5242 ± 0.0000,0.5237 ± 0.0000,0.5261 ± 0.0000,0.5214 ± 0.0000,0.5615 ± 0.0000,0.4502 ± 0.0000,0.5524 ± 0.0000,233.9000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+500Yoruba,Yoruba,test,0.5347 ± 0.0000,0.5376 ± 0.0000,0.5383 ± 0.0000,0.5348 ± 0.0000,0.5308 ± 0.0000,0.4972 ± 0.0000,0.5762 ± 0.0000,244.5000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
