phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
n/a,monolingual,svm,Igbo,Igbo,val,0.5807,0.5792,0.5794,0.5788,0.6245,0.5221,0.5897,0.5733,4622.0,,,,,,,,,,,,0
n/a,monolingual,svm,Yoruba,Yoruba,test,0.5332,0.5322,0.5338,0.5325,0.5616,0.4844,0.5516,0.6097,4633.0,,,,,,,,,,,,0
n/a,monolingual,svm,Yoruba,Yoruba,val,0.5615,0.5578,0.558,0.5572,0.6296,0.5318,0.5102,0.6097,4633.0,,,,,,,,,,,,0
n/a,multilingual_joint,nb,all,English,test,0.6042,0.6106,0.6084,0.6041,0.5962,0.584,0.632,,,,,,,,,,,,,,0
n/a,multilingual_joint,nb,all,Hausa,test,0.5635,0.5645,0.5635,0.5634,0.5876,0.547,0.5556,,,,,,,,,,,,,,0
n/a,multilingual_joint,nb,all,Igbo,test,0.5672,0.5794,0.571,0.5675,0.5707,0.5527,0.579,,,,,,,,,,,,,,0
n/a,multilingual_joint,nb,all,Yoruba,test,0.5264,0.5386,0.5313,0.5261,0.5181,0.4946,0.5655,,,,,,,,,,,,,,0
n/a,multilingual_joint,nb,all,all,test,0.5654,0.5723,0.5686,0.5657,0.5691,0.5444,0.5835,1.6433,18531.0,,,,,,,,,,,,0
n/a,multilingual_joint,nb,all,all,val,0.5931,0.5986,0.5947,0.5936,0.6137,0.5736,0.5935,1.6433,18531.0,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,English,test,0.6659,0.6651,0.6675,0.6656,0.678,0.6188,0.7001,,,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,Hausa,test,0.6104,0.6096,0.6095,0.6088,0.6419,0.5769,0.6077,,,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,Igbo,test,0.614,0.6134,0.6133,0.6121,0.6456,0.57,0.6205,,,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,Yoruba,test,0.5619,0.561,0.5632,0.5616,0.5736,0.5158,0.5955,,,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,all,test,0.6131,0.6122,0.6134,0.6122,0.635,0.5704,0.6312,6.7976,18531.0,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,all,val,0.6353,0.634,0.634,0.6335,0.6732,0.6037,0.6237,6.7976,18531.0,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,English,test,0.6373,0.6371,0.6387,0.6369,0.6667,0.5842,0.6597,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,Hausa,test,0.5703,0.5699,0.5707,0.5698,0.5933,0.5442,0.5718,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,Igbo,test,0.5733,0.5728,0.5732,0.5725,0.6082,0.5423,0.5671,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,Yoruba,test,0.5491,0.5483,0.5497,0.5485,0.5872,0.4891,0.5691,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,all,test,0.5826,0.582,0.5831,0.582,0.6138,0.54,0.5922,3.0842,18531.0,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,all,val,0.601,0.5993,0.5998,0.5995,0.6525,0.5558,0.5901,3.0842,18531.0,,,,,,,,,,,,0
phase3,monolingual,rf,English,English,test,0.6727,0.6717,0.6737,0.6722,0.6907,0.6279,0.6979,1.1,4648.0,,0.6966,0.6849,0.6475,0.6095,0.6712,0.7268,0.7562,0.7083,0.7636,0.7427,1
phase3,monolingual,rf,Hausa,Hausa,test,0.5998,0.5994,0.6003,0.5983,0.6247,0.5558,0.6143,0.9,4628.0,,0.617,0.6327,0.5979,0.5193,0.5833,0.6488,0.6659,0.6322,0.6479,0.6486,1
phase3,monolingual,rf,Igbo,Igbo,test,0.5823,0.5808,0.5819,0.5807,0.6151,0.5327,0.5943,1.0,4622.0,,0.602,0.6287,0.5614,0.5068,0.5791,0.6103,0.677,0.6149,0.652,0.648,1
phase3,monolingual,rf,Yoruba,Yoruba,test,0.5529,0.5523,0.5546,0.5529,0.5646,0.5017,0.5925,1.1,4633.0,,0.5804,0.5497,0.5081,0.4955,0.5685,0.6186,0.6255,0.551,0.6079,0.5948,1
phase3,translation_impact_singlemodel,rf_joint,all,Hausa,test_shared,0.6106,0.6099,0.6099,0.6091,0.641,0.5783,0.6082,,,,,,,,,,,,,,0
phase3,translation_impact_singlemodel,rf_joint,all,Igbo,test_shared,0.6122,0.6117,0.6117,0.6104,0.6412,0.5697,0.6204,,,,,,,,,,,,,,0
phase3,translation_impact_singlemodel,rf_joint,all,Yoruba,test_shared,0.5605,0.5597,0.5619,0.5602,0.5696,0.5158,0.5953,,,,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+100Hausa,Hausa,test,0.562,0.6155,0.5514,0.5406,0.6338,0.4637,0.5242,234.7,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+100Igbo,Igbo,test,0.5551,0.5849,0.5462,0.5434,0.6204,0.4964,0.5133,239.8,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+100Yoruba,Yoruba,test,0.426,0.4861,0.4394,0.377,0.429,0.1801,0.5219,249.2,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+500Hausa,Hausa,test,0.6074,0.6158,0.6021,0.5993,0.6643,0.5385,0.5952,262.0,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+500Igbo,Igbo,test,0.5869,0.5846,0.5846,0.5821,0.643,0.5173,0.586,279.2,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+500Yoruba,Yoruba,test,0.537,0.5378,0.5399,0.5366,0.5498,0.4794,0.5807,304.1,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+50Hausa,Hausa,test,0.5492,0.6234,0.5378,0.5212,0.6244,0.4399,0.4992,234.5,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+50Igbo,Igbo,test,0.5189,0.5912,0.5056,0.4895,0.6025,0.4062,0.4597,248.0,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+50Yoruba,Yoruba,test,0.5181,0.5163,0.5212,0.5127,0.5389,0.4243,0.5748,240.5,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+100Hausa,Hausa,test,0.4796,0.5038,0.4715,0.4649,0.5581,0.4527,0.3841,199.4,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+100Igbo,Igbo,test,0.5015,0.5264,0.4952,0.4927,0.5478,0.499,0.4313,220.9,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+100Yoruba,Yoruba,test,0.5,0.5244,0.5094,0.4915,0.4626,0.4469,0.5651,255.4,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+500Hausa,Hausa,test,0.5189,0.5193,0.515,0.5134,0.5774,0.4517,0.5111,237.8,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+500Igbo,Igbo,test,0.5242,0.5237,0.5261,0.5214,0.5615,0.4502,0.5524,233.9,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+500Yoruba,Yoruba,test,0.5347,0.5376,0.5383,0.5348,0.5308,0.4972,0.5762,244.5,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+50Hausa,Hausa,test,0.4637,0.5006,0.4505,0.4239,0.5698,0.3519,0.3499,220.5,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+50Igbo,Igbo,test,0.4675,0.5015,0.456,0.4423,0.5544,0.3887,0.3838,181.3,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,mbert,English+50Yoruba,Yoruba,test,0.4751,0.501,0.485,0.457,0.47,0.3483,0.5527,142.8,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+100Hausa,Hausa,test,0.4924,0.5194,0.4835,0.4646,0.578,0.3288,0.4869,238.3,4748.0,100.0,,,,,,,,,,,0
